Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
3,00545,,00545,,00545,Joseph Omwamba,3.7,African American Studies,10B,001,A,Letter Grade,A-,Intermed Swahili
1,00545,,00545,,00545,Joseph Omwamba,3,African American Studies,10B,001,B,Letter Grade,B,Intermed Swahili
1,00545,,00545,,00545,Joseph Omwamba,1.7,African American Studies,10B,001,C,Letter Grade,C-,Intermed Swahili
1,00545,,00545,,00545,Joseph Omwamba,0,African American Studies,10B,001,F,Letter Grade,F,Intermed Swahili
5,00548,,00548,,00548,Edwin Okongo,4,African American Studies,11B,001,A,Letter Grade,A+,Elementary Swahili
2,00548,,00548,,00548,Edwin Okongo,4,African American Studies,11B,001,A,Letter Grade,A,Elementary Swahili
4,00548,,00548,,00548,Edwin Okongo,3.7,African American Studies,11B,001,A,Letter Grade,A-,Elementary Swahili
2,00548,,00548,,00548,Edwin Okongo,3.3,African American Studies,11B,001,B,Letter Grade,B+,Elementary Swahili
1,00548,,00548,,00548,Edwin Okongo,3,African American Studies,11B,001,B,Letter Grade,B,Elementary Swahili
1,00548,,00548,,00548,Edwin Okongo,2.3,African American Studies,11B,001,C,Letter Grade,C+,Elementary Swahili
1,00548,,00548,,00548,Edwin Okongo,1.7,African American Studies,11B,001,C,Letter Grade,C-,Elementary Swahili
1,00548,,00548,,00548,Edwin Okongo,,African American Studies,11B,001,Credit,Non-Letter Grade,Pass,Elementary Swahili
1,00548,,00548,,00548,Edwin Okongo,,African American Studies,11B,001,Credit,Non-Letter Grade,Satisfactory,Elementary Swahili
1,00548,,00548,,00548,Edwin Okongo,,African American Studies,11B,001,No Credit,Non-Letter Grade,Not Pass,Elementary Swahili
3,00551,,00551,,00551,Sam Mchombo,4,African American Studies,11B,002,A,Letter Grade,A+,Elementary Swahili
2,00551,,00551,,00551,Sam Mchombo,4,African American Studies,11B,002,A,Letter Grade,A,Elementary Swahili
5,00551,,00551,,00551,Sam Mchombo,3.7,African American Studies,11B,002,A,Letter Grade,A-,Elementary Swahili
2,00551,,00551,,00551,Sam Mchombo,3.3,African American Studies,11B,002,B,Letter Grade,B+,Elementary Swahili
1,00551,,00551,,00551,Sam Mchombo,3,African American Studies,11B,002,B,Letter Grade,B,Elementary Swahili
3,00551,,00551,,00551,Sam Mchombo,2.7,African American Studies,11B,002,B,Letter Grade,B-,Elementary Swahili
2,00551,,00551,,00551,Sam Mchombo,2.3,African American Studies,11B,002,C,Letter Grade,C+,Elementary Swahili
2,00551,,00551,,00551,Sam Mchombo,2,African American Studies,11B,002,C,Letter Grade,C,Elementary Swahili
2,00551,,00551,,00551,Sam Mchombo,1.7,African American Studies,11B,002,C,Letter Grade,C-,Elementary Swahili
2,00557,,00557,,00557,Joseph Omwamba,3.7,African American Studies,15B,001,A,Letter Grade,A-,Advanced Swahili
15,00560,,00560,,00560,Sam Mchombo,,African American Studies,24,001,Credit,Non-Letter Grade,Pass,Freshman Seminars
2,00563,,00563,,00563,Sam Mchombo,4,African American Studies,30B,001,A,Letter Grade,A,Elementary Chichewa
5,00572,,00572,,00572,Charles Henry; Christopher Weir,,African American Studies,98,002,Credit,Non-Letter Grade,Pass,Directed Group Stdy
22,00575,,00575,,00575,Elizabeth Okello; Ernest Honya; G. Ugo Nwokeji,,African American Studies,98,005,Credit,Non-Letter Grade,Pass,Directed Group Stdy
3,00581,,00581,,00581,Robert Allen; Spenser Johnson,,African American Studies,98,007,Credit,Non-Letter Grade,Pass,Directed Group Stdy
16,00584,,00584,,00584,Adrian Schurr; Charles Henry,,African American Studies,98,008,Credit,Non-Letter Grade,Pass,Directed Group Stdy
2,00584,,00584,,00584,Adrian Schurr; Charles Henry,,African American Studies,98,008,No Credit,Non-Letter Grade,Not Pass,Directed Group Stdy
7,00590,,00590,,00590,Hardy Frye; Matt Williams,,African American Studies,98,009,Credit,Non-Letter Grade,Pass,Directed Group Stdy
2,00599,,00599,,00599,Nailah Suad-Bakari,,African American Studies,98,012,Credit,Non-Letter Grade,Pass,Directed Group Stdy
1,00602,,00602,,00602,Nailah Suad-Bakari,,African American Studies,98,013,Credit,Non-Letter Grade,Pass,Directed Group Stdy
1,00610,,00610,,00610,G. Ugo Nwokeji,,African American Studies,99,002,Credit,Non-Letter Grade,Pass,Superv Indep Study
1,00616,,00616,,00616,Sam Mchombo,4,African American Studies,114,001,A,Letter Grade,A+,Ling Strtr Bnt Lang
3,00616,,00616,,00616,Sam Mchombo,4,African American Studies,114,001,A,Letter Grade,A,Ling Strtr Bnt Lang
1,00616,,00616,,00616,Sam Mchombo,2.3,African American Studies,114,001,C,Letter Grade,C+,Ling Strtr Bnt Lang
4,00617,,00617,,00617,Ula Taylor,4,African American Studies,117,001,A,Letter Grade,A,Afric Am:Indust Age
2,00617,,00617,,00617,Ula Taylor,3.7,African American Studies,117,001,A,Letter Grade,A-,Afric Am:Indust Age
3,00617,,00617,,00617,Ula Taylor,3.3,African American Studies,117,001,B,Letter Grade,B+,Afric Am:Indust Age
2,00617,,00617,,00617,Ula Taylor,3,African American Studies,117,001,B,Letter Grade,B,Afric Am:Indust Age
1,00617,,00617,,00617,Ula Taylor,2.7,African American Studies,117,001,B,Letter Grade,B-,Afric Am:Indust Age
6,00617,,00617,,00617,Ula Taylor,2.3,African American Studies,117,001,C,Letter Grade,C+,Afric Am:Indust Age
3,00617,,00617,,00617,Ula Taylor,2,African American Studies,117,001,C,Letter Grade,C,Afric Am:Indust Age
1,00617,,00617,,00617,Ula Taylor,1.7,African American Studies,117,001,C,Letter Grade,C-,Afric Am:Indust Age
4,00617,,00617,,00617,Ula Taylor,0,African American Studies,117,001,F,Letter Grade,F,Afric Am:Indust Age
1,00623,,00623,,00623,G. Ugo Nwokeji,4,African American Studies,118,001,A,Letter Grade,A,Slv Trd & Clt Mod
1,00623,,00623,,00623,G. Ugo Nwokeji,3.7,African American Studies,118,001,A,Letter Grade,A-,Slv Trd & Clt Mod
1,00623,,00623,,00623,G. Ugo Nwokeji,3.3,African American Studies,118,001,B,Letter Grade,B+,Slv Trd & Clt Mod
1,00623,,00623,,00623,G. Ugo Nwokeji,3,African American Studies,118,001,B,Letter Grade,B,Slv Trd & Clt Mod
5,00626,,00626,,00626,Hardy Frye,4,African American Studies,122,001,A,Letter Grade,A+,"Afam Family, Am Soc"
10,00626,,00626,,00626,Hardy Frye,4,African American Studies,122,001,A,Letter Grade,A,"Afam Family, Am Soc"
8,00626,,00626,,00626,Hardy Frye,3.7,African American Studies,122,001,A,Letter Grade,A-,"Afam Family, Am Soc"
5,00626,,00626,,00626,Hardy Frye,3.3,African American Studies,122,001,B,Letter Grade,B+,"Afam Family, Am Soc"
1,00626,,00626,,00626,Hardy Frye,3,African American Studies,122,001,B,Letter Grade,B,"Afam Family, Am Soc"
3,00626,,00626,,00626,Hardy Frye,2.7,African American Studies,122,001,B,Letter Grade,B-,"Afam Family, Am Soc"
1,00626,,00626,,00626,Hardy Frye,2,African American Studies,122,001,C,Letter Grade,C,"Afam Family, Am Soc"
1,00626,,00626,,00626,Hardy Frye,1.7,African American Studies,122,001,C,Letter Grade,C-,"Afam Family, Am Soc"
1,00626,,00626,,00626,Hardy Frye,1.3,African American Studies,122,001,D,Letter Grade,D+,"Afam Family, Am Soc"
6,00629,,00629,,00629,Stephen Small,4,African American Studies,123,001,A,Letter Grade,A,Social & Political
3,00629,,00629,,00629,Stephen Small,3.3,African American Studies,123,001,B,Letter Grade,B+,Social & Political
1,00629,,00629,,00629,Stephen Small,,African American Studies,123,001,Credit,Non-Letter Grade,Pass,Social & Political
5,00632,,00632,,00632,Ula Taylor,4,African American Studies,125,001,A,Letter Grade,A,Hist Civ Rights Mov
2,00632,,00632,,00632,Ula Taylor,3.3,African American Studies,125,001,B,Letter Grade,B+,Hist Civ Rights Mov
5,00632,,00632,,00632,Ula Taylor,3,African American Studies,125,001,B,Letter Grade,B,Hist Civ Rights Mov
2,00632,,00632,,00632,Ula Taylor,2.7,African American Studies,125,001,B,Letter Grade,B-,Hist Civ Rights Mov
4,00632,,00632,,00632,Ula Taylor,2.3,African American Studies,125,001,C,Letter Grade,C+,Hist Civ Rights Mov
4,00632,,00632,,00632,Ula Taylor,2,African American Studies,125,001,C,Letter Grade,C,Hist Civ Rights Mov
1,00632,,00632,,00632,Ula Taylor,1.7,African American Studies,125,001,C,Letter Grade,C-,Hist Civ Rights Mov
3,00632,,00632,,00632,Ula Taylor,1.3,African American Studies,125,001,D,Letter Grade,D+,Hist Civ Rights Mov
2,00632,,00632,,00632,Ula Taylor,0,African American Studies,125,001,F,Letter Grade,F,Hist Civ Rights Mov
16,00632,,00632,,00632,Ula Taylor,,African American Studies,125,001,Credit,Non-Letter Grade,Pass,Hist Civ Rights Mov
3,00632,,00632,,00632,Ula Taylor,,African American Studies,125,001,No Credit,Non-Letter Grade,Not Pass,Hist Civ Rights Mov
12,00635,,00635,,00635,Michel Laguerre,4,African American Studies,131,001,A,Letter Grade,A,"Carib Soc, Cultures"
6,00635,,00635,,00635,Michel Laguerre,3.7,African American Studies,131,001,A,Letter Grade,A-,"Carib Soc, Cultures"
1,00635,,00635,,00635,Michel Laguerre,3.3,African American Studies,131,001,B,Letter Grade,B+,"Carib Soc, Cultures"
1,00635,,00635,,00635,Michel Laguerre,3,African American Studies,131,001,B,Letter Grade,B,"Carib Soc, Cultures"
2,00635,,00635,,00635,Michel Laguerre,,African American Studies,131,001,Credit,Non-Letter Grade,Pass,"Carib Soc, Cultures"
1,00635,,00635,,00635,Michel Laguerre,,African American Studies,131,001,No Credit,Non-Letter Grade,Not Pass,"Carib Soc, Cultures"
3,00638,,00638,,00638,Michel Laguerre,4,African American Studies,139,001,A,Letter Grade,A,Sel Top:Africam Soc
3,00643,,00643,,00643,Charles Henry,4,African American Studies,139,003,A,Letter Grade,A,Sel Top:Africam Soc
3,00643,,00643,,00643,Charles Henry,3.7,African American Studies,139,003,A,Letter Grade,A-,Sel Top:Africam Soc
5,00643,,00643,,00643,Charles Henry,3,African American Studies,139,003,B,Letter Grade,B,Sel Top:Africam Soc
1,00643,,00643,,00643,Charles Henry,2.7,African American Studies,139,003,B,Letter Grade,B-,Sel Top:Africam Soc
1,00643,,00643,,00643,Charles Henry,2.3,African American Studies,139,003,C,Letter Grade,C+,Sel Top:Africam Soc
1,00643,,00643,,00643,Charles Henry,2,African American Studies,139,003,C,Letter Grade,C,Sel Top:Africam Soc
2,00643,,00643,,00643,Charles Henry,1,African American Studies,139,003,D,Letter Grade,D,Sel Top:Africam Soc
3,00643,,00643,,00643,Charles Henry,,African American Studies,139,003,Credit,Non-Letter Grade,Pass,Sel Top:Africam Soc
1,00643,,00643,,00643,Charles Henry,,African American Studies,139,003,No Credit,Non-Letter Grade,Not Pass,Sel Top:Africam Soc
