Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
5,00618,,00618,,00618,Nailah Suad-Bakari,,African American Studies,98,011,Credit,Non-Letter Grade,Pass,Directed Group Stdy
6,00779,,00779,,00779,Nailah Suad-Bakari,,African American Studies,98,012,Credit,Non-Letter Grade,Pass,Directed Group Stdy
1,00779,,00779,,00779,Nailah Suad-Bakari,,African American Studies,98,012,No Credit,Non-Letter Grade,Not Pass,Directed Group Stdy
2,00619,,00619,,00619,Nailah Suad-Bakari; Wanda Alarcon,,African American Studies,98BC,001,Credit,Non-Letter Grade,Pass,Directed Group Stud
4,00773,,00773,,00773,Michael Mcgee; Nailah Suad-Bakari,,African American Studies,98BC,002,Credit,Non-Letter Grade,Pass,Directed Group Stud
1,00623,,00623,,00623,Leigh Raiford,4,African American Studies,100,001,A,Letter Grade,A,Black Intllctl Thgh
3,00623,,00623,,00623,Leigh Raiford,3.7,African American Studies,100,001,A,Letter Grade,A-,Black Intllctl Thgh
2,00623,,00623,,00623,Leigh Raiford,3.3,African American Studies,100,001,B,Letter Grade,B+,Black Intllctl Thgh
5,00623,,00623,,00623,Leigh Raiford,3,African American Studies,100,001,B,Letter Grade,B,Black Intllctl Thgh
2,00623,,00623,,00623,Leigh Raiford,2.7,African American Studies,100,001,B,Letter Grade,B-,Black Intllctl Thgh
1,00623,,00623,,00623,Leigh Raiford,2.3,African American Studies,100,001,C,Letter Grade,C+,Black Intllctl Thgh
1,00623,,00623,,00623,Leigh Raiford,2,African American Studies,100,001,C,Letter Grade,C,Black Intllctl Thgh
1,00623,,00623,,00623,Leigh Raiford,1.7,African American Studies,100,001,C,Letter Grade,C-,Black Intllctl Thgh
1,00623,,00623,,00623,Leigh Raiford,1,African American Studies,100,001,D,Letter Grade,D,Black Intllctl Thgh
1,00623,,00623,,00623,Leigh Raiford,0.7,African American Studies,100,001,D,Letter Grade,D-,Black Intllctl Thgh
2,00634,,00634,,00634,Hardy Frye,4,African American Studies,109,001,A,Letter Grade,A+,Black/Male Am Life
2,00634,,00634,,00634,Hardy Frye,4,African American Studies,109,001,A,Letter Grade,A,Black/Male Am Life
7,00634,,00634,,00634,Hardy Frye,3.7,African American Studies,109,001,A,Letter Grade,A-,Black/Male Am Life
3,00634,,00634,,00634,Hardy Frye,3.3,African American Studies,109,001,B,Letter Grade,B+,Black/Male Am Life
2,00634,,00634,,00634,Hardy Frye,3,African American Studies,109,001,B,Letter Grade,B,Black/Male Am Life
1,00634,,00634,,00634,Hardy Frye,2.3,African American Studies,109,001,C,Letter Grade,C+,Black/Male Am Life
1,00634,,00634,,00634,Hardy Frye,2,African American Studies,109,001,C,Letter Grade,C,Black/Male Am Life
