Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
3,11520,,11520,,11520,Beth Piatote,3,American Studies,180D,001,B,Letter Grade,B,Race And Humor
1,11520,,11520,,11520,Beth Piatote,2.7,American Studies,180D,001,B,Letter Grade,B-,Race And Humor
1,11520,,11520,,11520,Beth Piatote,2,American Studies,180D,001,C,Letter Grade,C,Race And Humor
1,11520,,11520,,11520,Beth Piatote,1.7,American Studies,180D,001,C,Letter Grade,C-,Race And Humor
4,11520,,11520,,11520,Beth Piatote,0,American Studies,180D,001,F,Letter Grade,F,Race And Humor
7,11520,,11520,,11520,Beth Piatote,,American Studies,180D,001,Credit,Non-Letter Grade,Pass,Race And Humor
1,11520,,11520,,11520,Beth Piatote,,American Studies,180D,001,No Credit,Non-Letter Grade,Not Pass,Race And Humor
1,11520,,11520,,11520,Beth Piatote,,American Studies,180D,001,No Credit,Non-Letter Grade,Unsatisfactory,Race And Humor
4,11525,,11525,,11525,Leigh Raiford,4,American Studies,181B,001,A,Letter Grade,A,Visual Culture
3,11525,,11525,,11525,Leigh Raiford,3.7,American Studies,181B,001,A,Letter Grade,A-,Visual Culture
1,11525,,11525,,11525,Leigh Raiford,3,American Studies,181B,001,B,Letter Grade,B,Visual Culture
3,11525,,11525,,11525,Leigh Raiford,2.7,American Studies,181B,001,B,Letter Grade,B-,Visual Culture
1,11525,,11525,,11525,Leigh Raiford,1.7,American Studies,181B,001,C,Letter Grade,C-,Visual Culture
1,11525,,11525,,11525,Leigh Raiford,1.3,American Studies,181B,001,D,Letter Grade,D+,Visual Culture
6,11525,,11525,,11525,Leigh Raiford,,American Studies,181B,001,Credit,Non-Letter Grade,Pass,Visual Culture
1,11525,,11525,,11525,Leigh Raiford,,American Studies,181B,001,No Credit,Non-Letter Grade,Not Pass,Visual Culture
8,11530,,11530,,11530,Michael Cohen,4,American Studies,184I,OO1,A,Letter Grade,A,Race And Amer Film
4,11530,,11530,,11530,Michael Cohen,3.7,American Studies,184I,OO1,A,Letter Grade,A-,Race And Amer Film
3,11530,,11530,,11530,Michael Cohen,3.3,American Studies,184I,OO1,B,Letter Grade,B+,Race And Amer Film
2,11530,,11530,,11530,Michael Cohen,3,American Studies,184I,OO1,B,Letter Grade,B,Race And Amer Film
1,11530,,11530,,11530,Michael Cohen,2.7,American Studies,184I,OO1,B,Letter Grade,B-,Race And Amer Film
3,11530,,11530,,11530,Michael Cohen,2,American Studies,184I,OO1,C,Letter Grade,C,Race And Amer Film
1,11530,,11530,,11530,Michael Cohen,1.7,American Studies,184I,OO1,C,Letter Grade,C-,Race And Amer Film
1,11530,,11530,,11530,Michael Cohen,1,American Studies,184I,OO1,D,Letter Grade,D,Race And Amer Film
8,11530,,11530,,11530,Michael Cohen,,American Studies,184I,OO1,Credit,Non-Letter Grade,Pass,Race And Amer Film
1,11530,,11530,,11530,Michael Cohen,,American Studies,184I,OO1,Credit,Non-Letter Grade,Satisfactory,Race And Amer Film
3,11530,,11530,,11530,Michael Cohen,,American Studies,184I,OO1,No Credit,Non-Letter Grade,Not Pass,Race And Amer Film
3,11535,,11535,,11535,Kathleen Moran,,American Studies,199,001,Credit,Non-Letter Grade,Pass,Superv Indep Study
8,12105,,12105,,12105,Melanie Miller; Sabrina Agarwal,4,Anthropology,1,001,A,Letter Grade,A+,Intro To Bio Anthro
12,12105,,12105,,12105,Melanie Miller; Sabrina Agarwal,4,Anthropology,1,001,A,Letter Grade,A,Intro To Bio Anthro
7,12105,,12105,,12105,Melanie Miller; Sabrina Agarwal,3.7,Anthropology,1,001,A,Letter Grade,A-,Intro To Bio Anthro
3,12105,,12105,,12105,Melanie Miller; Sabrina Agarwal,3.3,Anthropology,1,001,B,Letter Grade,B+,Intro To Bio Anthro
2,12105,,12105,,12105,Melanie Miller; Sabrina Agarwal,3,Anthropology,1,001,B,Letter Grade,B,Intro To Bio Anthro
1,12105,,12105,,12105,Melanie Miller; Sabrina Agarwal,2.7,Anthropology,1,001,B,Letter Grade,B-,Intro To Bio Anthro
2,12105,,12105,,12105,Melanie Miller; Sabrina Agarwal,,Anthropology,1,001,Credit,Non-Letter Grade,Pass,Intro To Bio Anthro
1,12125,,12125,,12125,Mather George,4,Anthropology,3AC,001,A,Letter Grade,A+,Intro Soc/Cult Ac
19,12125,,12125,,12125,Mather George,4,Anthropology,3AC,001,A,Letter Grade,A,Intro Soc/Cult Ac
10,12125,,12125,,12125,Mather George,3.7,Anthropology,3AC,001,A,Letter Grade,A-,Intro Soc/Cult Ac
5,12125,,12125,,12125,Mather George,3.3,Anthropology,3AC,001,B,Letter Grade,B+,Intro Soc/Cult Ac
7,12125,,12125,,12125,Mather George,3,Anthropology,3AC,001,B,Letter Grade,B,Intro Soc/Cult Ac
1,12125,,12125,,12125,Mather George,2.7,Anthropology,3AC,001,B,Letter Grade,B-,Intro Soc/Cult Ac
1,12125,,12125,,12125,Mather George,2.3,Anthropology,3AC,001,C,Letter Grade,C+,Intro Soc/Cult Ac
1,12125,,12125,,12125,Mather George,0,Anthropology,3AC,001,F,Letter Grade,F,Intro Soc/Cult Ac
8,12125,,12125,,12125,Mather George,,Anthropology,3AC,001,Credit,Non-Letter Grade,Pass,Intro Soc/Cult Ac
1,12125,,12125,,12125,Mather George,,Anthropology,3AC,001,No Credit,Non-Letter Grade,Not Pass,Intro Soc/Cult Ac
11,12145,,12145,,12145,Corinne Hayden; Ruth Goldstein,4,Anthropology,R5B,001,A,Letter Grade,A,Reading & Comp
4,12145,,12145,,12145,Corinne Hayden; Ruth Goldstein,3.7,Anthropology,R5B,001,A,Letter Grade,A-,Reading & Comp
1,12145,,12145,,12145,Corinne Hayden; Ruth Goldstein,3.3,Anthropology,R5B,001,B,Letter Grade,B+,Reading & Comp
2,12150,,12150,,12150,Annelise Morris; Corinne Hayden,4,Anthropology,R5B,002,A,Letter Grade,A+,Reading & Comp
10,12150,,12150,,12150,Annelise Morris; Corinne Hayden,4,Anthropology,R5B,002,A,Letter Grade,A,Reading & Comp
1,12150,,12150,,12150,Annelise Morris; Corinne Hayden,3.7,Anthropology,R5B,002,A,Letter Grade,A-,Reading & Comp
1,12150,,12150,,12150,Annelise Morris; Corinne Hayden,3.3,Anthropology,R5B,002,B,Letter Grade,B+,Reading & Comp
1,12150,,12150,,12150,Annelise Morris; Corinne Hayden,3,Anthropology,R5B,002,B,Letter Grade,B,Reading & Comp
1,12150,,12150,,12150,Annelise Morris; Corinne Hayden,2.7,Anthropology,R5B,002,B,Letter Grade,B-,Reading & Comp
4,12155,,12155,,12155,Corinne Hayden; Krystal Strong,4,Anthropology,R5B,003,A,Letter Grade,A+,Reading & Comp
6,12155,,12155,,12155,Corinne Hayden; Krystal Strong,4,Anthropology,R5B,003,A,Letter Grade,A,Reading & Comp
2,12155,,12155,,12155,Corinne Hayden; Krystal Strong,3.7,Anthropology,R5B,003,A,Letter Grade,A-,Reading & Comp
1,12155,,12155,,12155,Corinne Hayden; Krystal Strong,3,Anthropology,R5B,003,B,Letter Grade,B,Reading & Comp
2,12155,,12155,,12155,Corinne Hayden; Krystal Strong,2.7,Anthropology,R5B,003,B,Letter Grade,B-,Reading & Comp
1,12155,,12155,,12155,Corinne Hayden; Krystal Strong,0,Anthropology,R5B,003,F,Letter Grade,F,Reading & Comp
1,12160,,12160,,12160,Corinne Hayden; Michael D'Arcy,4,Anthropology,R5B,004,A,Letter Grade,A+,Reading & Comp
9,12160,,12160,,12160,Corinne Hayden; Michael D'Arcy,4,Anthropology,R5B,004,A,Letter Grade,A,Reading & Comp
6,12160,,12160,,12160,Corinne Hayden; Michael D'Arcy,3.7,Anthropology,R5B,004,A,Letter Grade,A-,Reading & Comp
1,12160,,12160,,12160,Corinne Hayden; Michael D'Arcy,3,Anthropology,R5B,004,B,Letter Grade,B,Reading & Comp
1,12165,,12165,,12165,Corinne Hayden; Mareike Winchell,4,Anthropology,R5B,005,A,Letter Grade,A+,Reading & Comp
3,12165,,12165,,12165,Corinne Hayden; Mareike Winchell,4,Anthropology,R5B,005,A,Letter Grade,A,Reading & Comp
2,12165,,12165,,12165,Corinne Hayden; Mareike Winchell,3.7,Anthropology,R5B,005,A,Letter Grade,A-,Reading & Comp
1,12165,,12165,,12165,Corinne Hayden; Mareike Winchell,3.3,Anthropology,R5B,005,B,Letter Grade,B+,Reading & Comp
3,12165,,12165,,12165,Corinne Hayden; Mareike Winchell,0,Anthropology,R5B,005,F,Letter Grade,F,Reading & Comp
3,12165,,12165,,12165,Corinne Hayden; Mareike Winchell,,Anthropology,R5B,005,Credit,Non-Letter Grade,Pass,Reading & Comp
3,12175,,12175,,12175,Patrick Beauchesne,4,Anthropology,112,001,A,Letter Grade,A+,Sp Topics: Bio Anth
14,12175,,12175,,12175,Patrick Beauchesne,4,Anthropology,112,001,A,Letter Grade,A,Sp Topics: Bio Anth
9,12175,,12175,,12175,Patrick Beauchesne,3.7,Anthropology,112,001,A,Letter Grade,A-,Sp Topics: Bio Anth
5,12175,,12175,,12175,Patrick Beauchesne,3.3,Anthropology,112,001,B,Letter Grade,B+,Sp Topics: Bio Anth
2,12175,,12175,,12175,Patrick Beauchesne,2.7,Anthropology,112,001,B,Letter Grade,B-,Sp Topics: Bio Anth
1,12175,,12175,,12175,Patrick Beauchesne,2.3,Anthropology,112,001,C,Letter Grade,C+,Sp Topics: Bio Anth
1,12175,,12175,,12175,Patrick Beauchesne,2,Anthropology,112,001,C,Letter Grade,C,Sp Topics: Bio Anth
1,12175,,12175,,12175,Patrick Beauchesne,1.7,Anthropology,112,001,C,Letter Grade,C-,Sp Topics: Bio Anth
3,12175,,12175,,12175,Patrick Beauchesne,,Anthropology,112,001,Credit,Non-Letter Grade,Pass,Sp Topics: Bio Anth
1,12175,,12175,,12175,Patrick Beauchesne,,Anthropology,112,001,Credit,Non-Letter Grade,Satisfactory,Sp Topics: Bio Anth
6,12180,,12180,,12180,Laurie Wilkie,4,Anthropology,121AC,001,A,Letter Grade,A+,Amercn Materl Cultr
17,12180,,12180,,12180,Laurie Wilkie,4,Anthropology,121AC,001,A,Letter Grade,A,Amercn Materl Cultr
1,12180,,12180,,12180,Laurie Wilkie,3.7,Anthropology,121AC,001,A,Letter Grade,A-,Amercn Materl Cultr
1,12180,,12180,,12180,Laurie Wilkie,3.3,Anthropology,121AC,001,B,Letter Grade,B+,Amercn Materl Cultr
1,12180,,12180,,12180,Laurie Wilkie,2.7,Anthropology,121AC,001,B,Letter Grade,B-,Amercn Materl Cultr
1,12180,,12180,,12180,Laurie Wilkie,2,Anthropology,121AC,001,C,Letter Grade,C,Amercn Materl Cultr
3,12180,,12180,,12180,Laurie Wilkie,,Anthropology,121AC,001,Credit,Non-Letter Grade,Pass,Amercn Materl Cultr
1,12180,,12180,,12180,Laurie Wilkie,,Anthropology,121AC,001,No Credit,Non-Letter Grade,Not Pass,Amercn Materl Cultr
1,12185,,12185,,12185,Julie Wesp,4,Anthropology,122C,001,A,Letter Grade,A+,Arch Centrl America
12,12185,,12185,,12185,Julie Wesp,4,Anthropology,122C,001,A,Letter Grade,A,Arch Centrl America
7,12185,,12185,,12185,Julie Wesp,3.7,Anthropology,122C,001,A,Letter Grade,A-,Arch Centrl America
1,12185,,12185,,12185,Julie Wesp,3.3,Anthropology,122C,001,B,Letter Grade,B+,Arch Centrl America
1,12185,,12185,,12185,Julie Wesp,3,Anthropology,122C,001,B,Letter Grade,B,Arch Centrl America
2,12185,,12185,,12185,Julie Wesp,,Anthropology,122C,001,Credit,Non-Letter Grade,Pass,Arch Centrl America
3,12195,,12195,,12195,Anna Harkey,4,Anthropology,128,002,A,Letter Grade,A+,Spec Topics In Arch
5,12195,,12195,,12195,Anna Harkey,4,Anthropology,128,002,A,Letter Grade,A,Spec Topics In Arch
1,12195,,12195,,12195,Anna Harkey,3.7,Anthropology,128,002,A,Letter Grade,A-,Spec Topics In Arch
1,12195,,12195,,12195,Anna Harkey,3.3,Anthropology,128,002,B,Letter Grade,B+,Spec Topics In Arch
1,12195,,12195,,12195,Anna Harkey,3,Anthropology,128,002,B,Letter Grade,B,Spec Topics In Arch
4,12205,,12205,,12205,Mather George,4,Anthropology,148,001,A,Letter Grade,A,Anth Of Environment
3,12205,,12205,,12205,Mather George,3.7,Anthropology,148,001,A,Letter Grade,A-,Anth Of Environment
1,12205,,12205,,12205,Mather George,,Anthropology,148,001,Credit,Non-Letter Grade,Pass,Anth Of Environment
1,12205,,12205,,12205,Mather George,,Anthropology,148,001,No Credit,Non-Letter Grade,Not Pass,Anth Of Environment
6,12210,,12210,,12210,Gaymon Bennett,4,Anthropology,158,001,A,Letter Grade,A+,Religion & Anthro
7,12210,,12210,,12210,Gaymon Bennett,4,Anthropology,158,001,A,Letter Grade,A,Religion & Anthro
5,12210,,12210,,12210,Gaymon Bennett,3.7,Anthropology,158,001,A,Letter Grade,A-,Religion & Anthro
2,12210,,12210,,12210,Gaymon Bennett,3.3,Anthropology,158,001,B,Letter Grade,B+,Religion & Anthro
1,12210,,12210,,12210,Gaymon Bennett,3,Anthropology,158,001,B,Letter Grade,B,Religion & Anthro
1,12210,,12210,,12210,Gaymon Bennett,2.7,Anthropology,158,001,B,Letter Grade,B-,Religion & Anthro
1,12210,,12210,,12210,Gaymon Bennett,2.3,Anthropology,158,001,C,Letter Grade,C+,Religion & Anthro
9,12210,,12210,,12210,Gaymon Bennett,,Anthropology,158,001,Credit,Non-Letter Grade,Pass,Religion & Anthro
1,12210,,12210,,12210,Gaymon Bennett,,Anthropology,158,001,No Credit,Non-Letter Grade,Not Pass,Religion & Anthro
3,12215,,12215,,12215,Yuko Okubo,4,Anthropology,171,001,A,Letter Grade,A+,Japan
16,12215,,12215,,12215,Yuko Okubo,4,Anthropology,171,001,A,Letter Grade,A,Japan
4,12215,,12215,,12215,Yuko Okubo,3.7,Anthropology,171,001,A,Letter Grade,A-,Japan
5,12215,,12215,,12215,Yuko Okubo,3.3,Anthropology,171,001,B,Letter Grade,B+,Japan
1,12215,,12215,,12215,Yuko Okubo,3,Anthropology,171,001,B,Letter Grade,B,Japan
